Name,iso,counter,year,id,PPG stock,PPG Bi,PPG bonds,PPG multi,PPG Off,PPG Prv,Multilateral ($ million),Bilateral ($ million),Bonds ($ million),Other private ($ million),INT ($ million),AMT ($ million),PPG stock ($ million)
Afghanistan,AFG,World,2000,AFG2000,..,..,0.00,..,..,..,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Afghanistan,AFG,World,2001,AFG2001,..,..,0.00,..,..,..,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Afghanistan,AFG,World,2002,AFG2002,..,..,0.00,..,..,..,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Afghanistan,AFG,World,2003,AFG2003,..,..,0.00,..,..,..,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Afghanistan,AFG,World,2004,AFG2004,..,..,0.00,..,..,..,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Afghanistan,AFG,World,2005,AFG2005,..,..,0.00,..,..,..,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Afghanistan,AFG,World,2006,AFG2006,920022562.70,266025829.50,0.00,653599733.20,919625562.70,397000.00,653.60,266.03,0.00,0.40,5.77,3.49,920.02
Afghanistan,AFG,World,2007,AFG2007,1902610499.20,1083038016.90,0.00,819175482.30,1902213499.20,397000.00,819.18,1083.04,0.00,0.40,3.24,1.27,1902.61
Afghanistan,AFG,World,2008,AFG2008,1994506003.00,1090606093.00,0.00,903502910.00,1994109003.00,397000.00,903.50,1090.61,0.00,0.40,6.00,1.30,1994.51
Afghanistan,AFG,World,2009,AFG2009,2106108788.40,1089167939.40,0.00,1016543849.00,2105711788.40,397000.00,1016.54,1089.17,0.00,0.40,6.53,3.14,2106.11
Afghanistan,AFG,World,2010,AFG2010,1975547213.60,959476186.20,0.00,1016071027.40,1975547213.60,0.00,1016.07,959.48,0.00,0.00,7.71,0.97,1975.55
Afghanistan,AFG,World,2011,AFG2011,2032464249.90,959574063.90,0.00,1072890186.00,2032464249.90,..,1072.89,959.57,0.00,0.00,8.89,0.86,2032.46
Afghanistan,AFG,World,2012,AFG2012,2079786013.40,959446350.70,0.00,1120339662.70,2079786013.40,..,1120.34,959.45,0.00,0.00,8.30,1.61,2079.79
Afghanistan,AFG,World,2013,AFG2013,2106231492.20,959408625.90,0.00,1146822866.30,2106231492.20,..,1146.82,959.41,0.00,0.00,7.53,4.16,2106.23
Afghanistan,AFG,World,2014,AFG2014,2020951888.70,934494545.50,0.00,1086457343.20,2020951888.70,..,1086.46,934.49,0.00,0.00,9.15,12.10,2020.95
Afghanistan,AFG,World,2015,AFG2015,1989954793.30,960184253.10,0.00,1029770540.20,1989954793.30,..,1029.77,960.18,0.00,0.00,8.73,18.69,1989.95
Afghanistan,AFG,World,2016,AFG2016,1949505964.60,958261439.00,0.00,991244525.60,1949505964.60,..,991.24,958.26,0.00,0.00,7.52,22.75,1949.51
Afghanistan,AFG,World,2017,AFG2017,1981566648.70,958615633.80,0.00,1022951014.90,1981566648.70,..,1022.95,958.62,0.00,0.00,8.07,22.53,1981.57
Afghanistan,AFG,World,2018,AFG2018,1948884923.60,965450528.80,0.00,983434394.80,1948884923.60,..,983.43,965.45,0.00,0.00,7.97,24.70,1948.88
Afghanistan,AFG,World,2019,AFG2019,1943607688.10,988986276.30,0.00,954621411.80,1943607688.10,..,954.62,988.99,0.00,0.00,7.49,25.29,1943.61
Afghanistan,AFG,World,2020,AFG2020,1958449755.20,990653922.70,0.00,967795832.50,1958449755.20,..,967.80,990.65,0.00,0.00,7.07,21.63,1958.45
