iso,id,year,GG debt (% of GDP),GG debt ($ million),,
AFG,AFG2000,2000,,,,
AFG,AFG2001,2001,,,,
AFG,AFG2002,2002,345.977,"15,108.8",,
AFG,AFG2003,2003,270.602,"12,320.5",,
AFG,AFG2004,2004,244.967,"12,606.0",,
AFG,AFG2005,2005,206.356,"12,726.0",,
AFG,AFG2006,2006,22.985,"1,591.7",,
AFG,AFG2007,2007,20.137,"1,722.9",,
AFG,AFG2008,2008,19.057,"1,962.3",,
AFG,AFG2009,2009,16.247,"1,960.4",,
AFG,AFG2010,2010,7.697,"1,179.6",,
AFG,AFG2011,2011,7.501,"1,341.9",,
AFG,AFG2012,2012,6.759,"1,371.6",,
AFG,AFG2013,2013,6.904,"1,392.5",,
AFG,AFG2014,2014,8.7,"1,793.6",,
AFG,AFG2015,2015,9.154,"1,836.0",,
AFG,AFG2016,2016,8.437,"1,520.3",,
AFG,AFG2017,2017,7.998,"1,510.3",,
AFG,AFG2018,2018,7.384,"1,353.9",,
AFG,AFG2019,2019,6.35,"1,198.6",,
AFG,AFG2020,2020,7.797,"1,570.0",,
AFG,AFG2021,2021,,,,
AFG,AFG2022,2022,,,,
AFG,AFG2023,2023,,,,
AFG,AFG2024,2024,,,,
AFG,AFG2025,2025,,,,
ALB,ALB2000,2000,63.769,"2,224.3",,
ALB,ALB2001,2001,60.613,"2,380.3",,
ALB,ALB2002,2002,64.097,"2,792.1",,
ALB,ALB2003,2003,60.245,"3,350.2",,
ALB,ALB2004,2004,57.474,"4,124.9",,
ALB,ALB2005,2005,58.203,"4,686.5",,
ALB,ALB2006,2006,56.688,"5,043.0",,
ALB,ALB2007,2007,53.55,"5,717.5",,
ALB,ALB2008,2008,55.14,"7,102.6",,
ALB,ALB2009,2009,59.666,"7,186.2",,
ALB,ALB2010,2010,57.72,"6,890.0",,
ALB,ALB2011,2011,59.413,"7,663.7",,
ALB,ALB2012,2012,62.144,"7,658.6",,
ALB,ALB2013,2013,70.391,"8,998.8",,
ALB,ALB2014,2014,71.992,"9,536.1",,
ALB,ALB2015,2015,73.716,"8,395.5",,
ALB,ALB2016,2016,73.324,"8,697.7",,
ALB,ALB2017,2017,71.895,"9,384.5",,
ALB,ALB2018,2018,69.472,"10,529.9",,
ALB,ALB2019,2019,67.368,"10,374.0",,
ALB,ALB2020,2020,75.772,"11,511.3",,
ALB,ALB2021,2021,75.218,"13,527.2",,
ALB,ALB2022,2022,65.546,"12,508.1",,
ALB,ALB2023,2023,59.811,"13,650.1",,
ALB,ALB2024,2024,58.295,"15,232.5",,
ALB,ALB2025,2025,56.967,"15,946.8",,
DZA,DZA2000,2000,53.406,"31,732.8",,
DZA,DZA2001,2001,50.003,"29,708.3",,
DZA,DZA2002,2002,47.312,"29,104.4",,
DZA,DZA2003,2003,38.224,"28,087.8",,
DZA,DZA2004,2004,32.69,"30,046.7",,
DZA,DZA2005,2005,25.366,"27,153.5",,
DZA,DZA2006,2006,22.473,"27,660.7",,
DZA,DZA2007,2007,12.794,"18,229.3",,
DZA,DZA2008,2008,7.637,"13,775.9",,
DZA,DZA2009,2009,8.922,"13,411.3",,
DZA,DZA2010,2010,9.513,"16,912.7",,
DZA,DZA2011,2011,8.478,"18,510.2",,
DZA,DZA2012,2012,8.583,"19,495.8",,
DZA,DZA2013,2013,6.478,"14,880.0",,
DZA,DZA2014,2014,6.853,"16,374.8",,
DZA,DZA2015,2015,7.731,"14,495.2",,
DZA,DZA2016,2016,18.094,"32,707.4",,
DZA,DZA2017,2017,24.015,"45,629.5",,
DZA,DZA2018,2018,34.493,"67,091.3",,
DZA,DZA2019,2019,40.882,"79,049.8",,
DZA,DZA2020,2020,45.967,"75,741.7",,
DZA,DZA2021,2021,55.134,"102,485.3",,
DZA,DZA2022,2022,48.085,"108,494.7",,
DZA,DZA2023,2023,48.619,"116,716.7",,
DZA,DZA2024,2024,45.67,"118,803.2",,
DZA,DZA2025,2025,50.391,"133,168.3",,
AGO,AGO2000,2000,118.243,"14,953.0",,
AGO,AGO2001,2001,100.221,"12,405.4",,
AGO,AGO2002,2002,65.107,"11,271.3",,
AGO,AGO2003,2003,50.76,"10,325.6",,
AGO,AGO2004,2004,41.627,"11,238.5",,
AGO,AGO2005,2005,29.886,"12,371.9",,
AGO,AGO2006,2006,16.726,"9,810.5",,
AGO,AGO2007,2007,18.804,"13,734.1",,
AGO,AGO2008,2008,28.122,"27,781.7",,
AGO,AGO2009,2009,48.448,"39,584.4",,
AGO,AGO2010,2010,32.594,"31,142.6",,
AGO,AGO2011,2011,26.318,"33,042.8",,
AGO,AGO2012,2012,23.805,"34,177.6",,
AGO,AGO2013,2013,29.473,"45,318.0",,
AGO,AGO2014,2014,35.274,"58,007.4",,
AGO,AGO2015,2015,50.386,"66,338.7",,
AGO,AGO2016,2016,66.67,"76,513.2",,
AGO,AGO2017,2017,60.492,"84,589.0",,
AGO,AGO2018,2018,82.541,"94,252.7",,
AGO,AGO2019,2019,101.373,"95,970.8",,
AGO,AGO2020,2020,119.145,"79,256.4",,
AGO,AGO2021,2021,74.292,"62,683.9",,
AGO,AGO2022,2022,56.108,"79,640.3",,
AGO,AGO2023,2023,73.682,"80,812.9",,
AGO,AGO2024,2024,59.283,"67,159.3",,
AGO,AGO2025,2025,52.085,"61,673.3",,
ARG,ARG2000,2000,40.833,"129,750.5",,
ARG,ARG2001,2001,48.007,"144,223.1",,
ARG,ARG2002,2002,147.203,"165,541.5",,
ARG,ARG2003,2003,125.162,"178,269.5",,
