iso,id,year,GG debt (% of GDP),GG debt ($ million)
AFG,AFG2000,2000,..,..
AFG,AFG2001,2001,..,..
AFG,AFG2002,2002,345.977,15108.8
AFG,AFG2003,2003,270.602,12320.5
AFG,AFG2004,2004,244.967,12606.0
AFG,AFG2005,2005,206.356,12726.0
AFG,AFG2006,2006,22.985,1591.7
AFG,AFG2007,2007,20.137,1722.9
AFG,AFG2008,2008,19.057,1962.3
AFG,AFG2009,2009,16.247,1960.4
AFG,AFG2010,2010,7.697,1179.6
AFG,AFG2011,2011,7.501,1341.9
AFG,AFG2012,2012,6.759,1371.6
AFG,AFG2013,2013,6.904,1392.5
AFG,AFG2014,2014,8.7,1793.6
AFG,AFG2015,2015,9.154,1836.0
AFG,AFG2016,2016,8.437,1520.3
AFG,AFG2017,2017,7.998,1510.3
AFG,AFG2018,2018,7.384,1353.9
AFG,AFG2019,2019,6.35,1198.6
AFG,AFG2020,2020,7.797,1570.0
AFG,AFG2021,2021,11.513,1645.0
AFG,AFG2022,2022,10.925,1580.5
AFG,AFG2023,2023,..,..
AFG,AFG2024,2024,..,..
AFG,AFG2025,2025,..,..
ALB,ALB2000,2000,63.769,2221.1
ALB,ALB2001,2001,60.613,2380.9
ALB,ALB2002,2002,64.097,2786.9
ALB,ALB2003,2003,60.245,3380.3
ALB,ALB2004,2004,57.474,4129.5
ALB,ALB2005,2005,58.203,4686.5
ALB,ALB2006,2006,56.688,5043.0
ALB,ALB2007,2007,53.55,5717.5
ALB,ALB2008,2008,55.14,7102.6
ALB,ALB2009,2009,59.666,7186.2
ALB,ALB2010,2010,57.72,6890.0
ALB,ALB2011,2011,59.413,7663.7
ALB,ALB2012,2012,62.144,7658.6
ALB,ALB2013,2013,70.391,8998.8
ALB,ALB2014,2014,71.992,9536.1
ALB,ALB2015,2015,73.716,8395.5
ALB,ALB2016,2016,73.324,8697.7
ALB,ALB2017,2017,71.895,9384.5
ALB,ALB2018,2018,69.472,10529.9
ALB,ALB2019,2019,67.368,10374.0
ALB,ALB2020,2020,75.772,11511.3
ALB,ALB2021,2021,75.218,13527.2
ALB,ALB2022,2022,65.546,12508.1
ALB,ALB2023,2023,60.019,13650.1
ALB,ALB2024,2024,58.022,14755.6
ALB,ALB2025,2025,57.024,15345.7
DZA,DZA2000,2000,53.406,31732.8
DZA,DZA2001,2001,50.003,29708.3
DZA,DZA2002,2002,47.312,29104.4
DZA,DZA2003,2003,38.224,28087.8
DZA,DZA2004,2004,32.69,30046.7
DZA,DZA2005,2005,25.366,27153.5
DZA,DZA2006,2006,22.473,27660.7
DZA,DZA2007,2007,12.794,18229.3
DZA,DZA2008,2008,7.637,13775.9
DZA,DZA2009,2009,8.922,13411.3
DZA,DZA2010,2010,9.513,16912.7
DZA,DZA2011,2011,8.478,18510.2
DZA,DZA2012,2012,8.583,19495.8
DZA,DZA2013,2013,6.478,14880.0
DZA,DZA2014,2014,6.853,16374.8
DZA,DZA2015,2015,7.731,14495.2
DZA,DZA2016,2016,18.094,32707.4
DZA,DZA2017,2017,24.015,45629.5
DZA,DZA2018,2018,34.493,67091.3
DZA,DZA2019,2019,40.882,79049.8
DZA,DZA2020,2020,45.967,75741.7
DZA,DZA2021,2021,55.134,102485.3
DZA,DZA2022,2022,48.085,108494.7
DZA,DZA2023,2023,49.487,121117.5
DZA,DZA2024,2024,46.401,123788.6
DZA,DZA2025,2025,49.712,137870.8
AGO,AGO2000,2000,133.914,14952.8
AGO,AGO2001,2001,113.505,12406.1
AGO,AGO2002,2002,73.736,11271.3
AGO,AGO2003,2003,57.968,10325.8
AGO,AGO2004,2004,47.717,11238.3
AGO,AGO2005,2005,33.464,12372.0
AGO,AGO2006,2006,18.729,9810.4
AGO,AGO2007,2007,21.043,13733.9
AGO,AGO2008,2008,31.378,27781.8
AGO,AGO2009,2009,56.302,39584.2
AGO,AGO2010,2010,37.163,31142.2
AGO,AGO2011,2011,29.558,33042.9
AGO,AGO2012,2012,26.691,34178.6
AGO,AGO2013,2013,33.149,45318.0
AGO,AGO2014,2014,39.81,58007.9
AGO,AGO2015,2015,57.093,66338.6
AGO,AGO2016,2016,75.663,76513.5
AGO,AGO2017,2017,69.323,84589.3
AGO,AGO2018,2018,92.995,94253.2
AGO,AGO2019,2019,113.554,95971.3
AGO,AGO2020,2020,138.708,79256.4
AGO,AGO2021,2021,83.734,62684.1
AGO,AGO2022,2022,64.84,79640.4
AGO,AGO2023,2023,84.472,79725.5
AGO,AGO2024,2024,70.342,64801.2
AGO,AGO2025,2025,61.755,58905.6
ARG,ARG2000,2000,40.833,129750.5
ARG,ARG2001,2001,48.007,144223.1
ARG,ARG2002,2002,147.203,165541.5
ARG,ARG2003,2003,125.162,178269.5
ARG,ARG2004,2004,117.878,194393.8
ARG,ARG2005,2005,80.282,159980.3
ARG,ARG2006,2006,70.793,164871.2
ARG,ARG2007,2007,62.133,178894.0
ARG,ARG2008,2008,53.814,195638.1
ARG,ARG2009,2009,55.397,185376.6
ARG,ARG2010,2010,43.454,184561.7
ARG,ARG2011,2011,38.935,205438.2
ARG,ARG2012,2012,40.436,234393.7
ARG,ARG2013,2013,43.496,265965.4
ARG,ARG2014,2014,44.697,251918.5
ARG,ARG2015,2015,52.563,337698.4
ARG,ARG2016,2016,53.06,295424.3
ARG,ARG2017,2017,57.028,367181.1
ARG,ARG2018,2018,85.246,447056.5
ARG,ARG2019,2019,89.84,401371.0
ARG,ARG2020,2020,103.816,399917.9
ARG,ARG2021,2021,80.82,393898.1
