Group,year,number_revenue,percentage_revenue,number_exports,percentage_exports
All developing,2000,25,22.94,12,12.5
All developing,2001,19,17.12,12,12.37
All developing,2002,20,17.86,11,11.11
All developing,2003,21,18.75,13,12.87
All developing,2004,17,15.18,6,5.83
All developing,2005,10,8.85,7,6.6
All developing,2006,13,11.3,4,3.7
All developing,2007,13,11.3,6,5.41
All developing,2008,9,7.76,1,0.89
All developing,2009,6,5.13,3,2.65
All developing,2010,5,4.27,0,0
All developing,2011,4,3.45,2,1.77
All developing,2012,6,5.17,2,1.77
All developing,2013,6,5.08,0,0
All developing,2014,5,4.24,0,0
All developing,2015,10,8.47,4,3.48
All developing,2016,6,5.08,5,4.35
All developing,2017,10,8.47,6,5.31
All developing,2018,12,10.17,7,6.19
All developing,2019,19,16.1,10,8.85
All developing,2020,23,19.66,14,12.17
All developing,2021,22,18.8,13,11.4
All developing,2022,12,10.26,3,2.68
All developing,2023,25,21.93,..,..
All developing,2024,24,21.43,..,..
Low income (LIC),2000,0,0,2,12.5
Low income (LIC),2001,0,0,2,12.5
Low income (LIC),2002,1,4.55,1,6.25
Low income (LIC),2003,3,13.64,2,11.76
Low income (LIC),2004,2,9.09,1,5.56
Low income (LIC),2005,1,4.55,1,5.26
Low income (LIC),2006,1,4.35,0,0
Low income (LIC),2007,3,13.04,1,5
Low income (LIC),2008,3,12.5,0,0
Low income (LIC),2009,0,0,0,0
Low income (LIC),2010,0,0,0,0
Low income (LIC),2011,0,0,0,0
Low income (LIC),2012,0,0,0,0
Low income (LIC),2013,0,0,0,0
Low income (LIC),2014,2,8.33,0,0
Low income (LIC),2015,0,0,0,0
Low income (LIC),2016,0,0,0,0
Low income (LIC),2017,0,0,1,4.76
Low income (LIC),2018,0,0,1,4.76
Low income (LIC),2019,1,4.17,1,5
Low income (LIC),2020,1,4.35,2,9.09
Low income (LIC),2021,1,4.35,4,19.05
Low income (LIC),2022,1,4.35,1,4.76
Low income (LIC),2023,6,27.27,..,..
Low income (LIC),2024,6,27.27,..,..
Lower-middle income (LMC),2000,15,30.61,5,11.9
Lower-middle income (LMC),2001,11,22.45,4,9.52
Lower-middle income (LMC),2002,7,14.29,4,9.09
Lower-middle income (LMC),2003,8,16.33,6,13.33
Lower-middle income (LMC),2004,8,16.33,3,6.52
Lower-middle income (LMC),2005,6,12,2,4.17
Lower-middle income (LMC),2006,6,12,3,6
Lower-middle income (LMC),2007,5,10,3,6
Lower-middle income (LMC),2008,2,4,0,0
Lower-middle income (LMC),2009,2,4,0,0
Lower-middle income (LMC),2010,2,4,0,0
Lower-middle income (LMC),2011,1,2,1,2
Lower-middle income (LMC),2012,3,6,1,2
Lower-middle income (LMC),2013,1,1.96,0,0
Lower-middle income (LMC),2014,2,3.92,0,0
Lower-middle income (LMC),2015,5,9.8,1,1.96
Lower-middle income (LMC),2016,3,5.88,2,3.92
Lower-middle income (LMC),2017,7,13.73,2,4
Lower-middle income (LMC),2018,7,13.73,3,6
Lower-middle income (LMC),2019,11,21.57,5,9.8
Lower-middle income (LMC),2020,13,25.49,6,11.76
Lower-middle income (LMC),2021,13,25.49,4,7.84
Lower-middle income (LMC),2022,8,15.69,2,3.92
Lower-middle income (LMC),2023,15,30.61,..,..
Lower-middle income (LMC),2024,16,33.33,..,..
Upper-middle income (UMC),2000,10,25.64,5,13.16
Upper-middle income (UMC),2001,8,19.51,6,15.38
Upper-middle income (UMC),2002,12,29.27,6,15.38
Upper-middle income (UMC),2003,10,24.39,5,12.82
Upper-middle income (UMC),2004,7,17.07,2,5.13
Upper-middle income (UMC),2005,3,7.32,4,10.26
Upper-middle income (UMC),2006,6,14.29,1,2.63
Upper-middle income (UMC),2007,5,11.9,2,4.88
Upper-middle income (UMC),2008,4,9.52,1,2.44
Upper-middle income (UMC),2009,4,9.3,3,7.14
Upper-middle income (UMC),2010,3,6.98,0,0
Upper-middle income (UMC),2011,3,6.98,1,2.38
Upper-middle income (UMC),2012,3,6.98,1,2.38
Upper-middle income (UMC),2013,5,11.63,0,0
Upper-middle income (UMC),2014,1,2.33,0,0
Upper-middle income (UMC),2015,5,11.63,3,7.14
Upper-middle income (UMC),2016,3,6.98,3,7.14
Upper-middle income (UMC),2017,3,6.98,3,7.14
Upper-middle income (UMC),2018,5,11.63,3,7.14
Upper-middle income (UMC),2019,7,16.28,4,9.52
Upper-middle income (UMC),2020,9,20.93,6,14.29
Upper-middle income (UMC),2021,8,18.6,5,11.9
Upper-middle income (UMC),2022,3,6.98,0,0
Upper-middle income (UMC),2023,4,9.3,..,..
Upper-middle income (UMC),2024,2,4.76,..,..
Middle income (MIC),2000,24,27.59,10,12.66
Middle income (MIC),2001,18,20.22,10,12.5
Middle income (MIC),2002,18,20.22,10,12.2
Middle income (MIC),2003,18,20.22,11,13.25
Middle income (MIC),2004,14,15.73,5,5.95
Middle income (MIC),2005,8,8.89,6,6.98
Middle income (MIC),2006,11,12.09,4,4.6
Middle income (MIC),2007,9,9.89,5,5.56
Middle income (MIC),2008,6,6.59,1,1.11
Middle income (MIC),2009,6,6.52,3,3.3
Middle income (MIC),2010,5,5.43,0,0
Middle income (MIC),2011,4,4.35,2,2.2
Middle income (MIC),2012,6,6.52,2,2.2
Middle income (MIC),2013,6,6.45,0,0
Middle income (MIC),2014,3,3.23,0,0
Middle income (MIC),2015,10,10.75,4,4.35
Middle income (MIC),2016,6,6.45,5,5.43
Middle income (MIC),2017,10,10.75,5,5.49
Middle income (MIC),2018,12,12.9,6,6.59
Middle income (MIC),2019,18,19.35,9,9.78
Middle income (MIC),2020,22,23.66,12,13.04
Middle income (MIC),2021,21,22.58,9,9.78
Middle income (MIC),2022,11,11.83,2,2.22
Middle income (MIC),2023,19,20.88,..,..
Middle income (MIC),2024,17,19.1,..,..
Least developed (LDC),2000,4,10.53,4,13.33
Least developed (LDC),2001,4,10.53,4,13.33
Least developed (LDC),2002,3,7.69,2,6.67
Least developed (LDC),2003,4,10.26,3,9.38
Least developed (LDC),2004,5,12.82,2,6.06
Least developed (LDC),2005,3,7.69,2,5.88
Least developed (LDC),2006,3,7.5,1,2.7
Least developed (LDC),2007,5,12.5,3,8.11
Least developed (LDC),2008,3,7.5,0,0
Least developed (LDC),2009,0,0,0,0
Least developed (LDC),2010,0,0,0,0
Least developed (LDC),2011,0,0,0,0
Least developed (LDC),2012,1,2.5,1,2.63
Least developed (LDC),2013,0,0,0,0
Least developed (LDC),2014,2,4.76,0,0
Least developed (LDC),2015,2,4.76,0,0
Least developed (LDC),2016,1,2.38,1,2.5
Least developed (LDC),2017,2,4.76,2,5.13
Least developed (LDC),2018,3,7.14,2,5.13
Least developed (LDC),2019,4,9.52,2,5.26
Least developed (LDC),2020,3,7.32,3,7.5
Least developed (LDC),2021,5,12.2,5,12.82
Least developed (LDC),2022,3,7.32,1,2.56
Least developed (LDC),2023,12,30,..,..
Least developed (LDC),2024,13,32.5,..,..
Landlocked developing (LLDC),2000,1,3.57,1,4.35
Landlocked developing (LLDC),2001,3,10.71,1,4.35
Landlocked developing (LLDC),2002,2,6.9,1,4.17
Landlocked developing (LLDC),2003,3,10.34,3,12.5
Landlocked developing (LLDC),2004,2,6.9,1,4.17
Landlocked developing (LLDC),2005,0,0,1,3.85
Landlocked developing (LLDC),2006,0,0,0,0
Landlocked developing (LLDC),2007,2,6.45,0,0
Landlocked developing (LLDC),2008,0,0,0,0
Landlocked developing (LLDC),2009,0,0,0,0
Landlocked developing (LLDC),2010,0,0,0,0
Landlocked developing (LLDC),2011,0,0,0,0
Landlocked developing (LLDC),2012,1,3.23,0,0
Landlocked developing (LLDC),2013,1,3.23,0,0
Landlocked developing (LLDC),2014,1,3.23,0,0
Landlocked developing (LLDC),2015,2,6.45,0,0
Landlocked developing (LLDC),2016,1,3.23,0,0
Landlocked developing (LLDC),2017,1,3.23,1,3.45
Landlocked developing (LLDC),2018,3,9.68,1,3.45
Landlocked developing (LLDC),2019,4,12.9,1,3.57
Landlocked developing (LLDC),2020,4,12.9,1,3.33
Landlocked developing (LLDC),2021,5,16.13,2,6.9
Landlocked developing (LLDC),2022,2,6.45,0,0
Landlocked developing (LLDC),2023,5,16.67,..,..
