Group,option,period,5,10,15,20,25,30,35,40
All developing,Number,2021-2023,79.00,48.00,25.00,14.00,10.00,6.00,4.00,3.00
All developing,Percentage,2021-2023,63.20,38.40,20.00,11.20,8.00,4.80,3.20,2.40
All developing,Number,2011-2013,53.00,28.00,12.00,7.00,5.00,4.00,2.00,0.00
All developing,Percentage,2011-2013,42.06,22.22,9.52,5.56,3.97,3.17,1.59,0.00
Low income (LIC),Number,2021-2023,17.00,9.00,4.00,3.00,2.00,0.00,0.00,0.00
Low income (LIC),Percentage,2021-2023,70.83,37.50,16.67,12.50,8.33,0.00,0.00,0.00
Low income (LIC),Number,2011-2013,11.00,5.00,2.00,0.00,0.00,0.00,0.00,0.00
Low income (LIC),Percentage,2011-2013,44.00,20.00,8.00,0.00,0.00,0.00,0.00,0.00
Lower-middle income (LMC),Number,2021-2023,32.00,20.00,11.00,9.00,7.00,5.00,4.00,3.00
Lower-middle income (LMC),Percentage,2021-2023,62.75,39.22,21.57,17.65,13.73,9.80,7.84,5.88
Lower-middle income (LMC),Number,2011-2013,22.00,10.00,7.00,6.00,4.00,3.00,2.00,0.00
Lower-middle income (LMC),Percentage,2011-2013,43.14,19.61,13.73,11.76,7.84,5.88,3.92,0.00
Upper-middle income (UMC),Number,2021-2023,30.00,19.00,10.00,2.00,1.00,1.00,0.00,0.00
Upper-middle income (UMC),Percentage,2021-2023,60.00,38.00,20.00,4.00,2.00,2.00,0.00,0.00
Upper-middle income (UMC),Number,2011-2013,20.00,13.00,3.00,1.00,1.00,1.00,0.00,0.00
Upper-middle income (UMC),Percentage,2011-2013,40.00,26.00,6.00,2.00,2.00,2.00,0.00,0.00
Middle income (MIC),Number,2021-2023,61.00,39.00,21.00,11.00,8.00,6.00,4.00,3.00
Middle income (MIC),Percentage,2021-2023,61.00,39.00,21.00,11.00,8.00,6.00,4.00,3.00
Middle income (MIC),Number,2011-2013,41.00,23.00,10.00,7.00,5.00,4.00,2.00,0.00
Middle income (MIC),Percentage,2011-2013,41.00,23.00,10.00,7.00,5.00,4.00,2.00,0.00
Least developed (LDC),Number,2021-2023,25.00,15.00,7.00,5.00,2.00,0.00,0.00,0.00
Least developed (LDC),Percentage,2021-2023,56.82,34.09,15.91,11.36,4.55,0.00,0.00,0.00
Least developed (LDC),Number,2011-2013,17.00,6.00,3.00,0.00,0.00,0.00,0.00,0.00
Least developed (LDC),Percentage,2011-2013,37.78,13.33,6.67,0.00,0.00,0.00,0.00,0.00
Small island developing (SIDS),Number,2021-2023,14.00,8.00,4.00,0.00,0.00,0.00,0.00,0.00
Small island developing (SIDS),Percentage,2021-2023,56.00,32.00,16.00,0.00,0.00,0.00,0.00,0.00
Small island developing (SIDS),Number,2011-2013,11.00,6.00,2.00,1.00,1.00,1.00,0.00,0.00
Small island developing (SIDS),Percentage,2011-2013,44.00,24.00,8.00,4.00,4.00,4.00,0.00,0.00
Emerging market (EM),Number,2021-2023,46.00,28.00,16.00,7.00,5.00,4.00,3.00,2.00
Emerging market (EM),Percentage,2021-2023,68.66,41.79,23.88,10.45,7.46,5.97,4.48,2.99
Emerging market (EM),Number,2011-2013,31.00,20.00,8.00,6.00,5.00,4.00,2.00,0.00
Emerging market (EM),Percentage,2011-2013,46.27,29.85,11.94,8.96,7.46,5.97,2.99,0.00
Low income developing (LIDC),Number,2021-2023,33.00,20.00,9.00,7.00,5.00,2.00,1.00,1.00
Low income developing (LIDC),Percentage,2021-2023,56.90,34.48,15.52,12.07,8.62,3.45,1.72,1.72
Low income developing (LIDC),Number,2011-2013,22.00,8.00,4.00,1.00,0.00,0.00,0.00,0.00
Low income developing (LIDC),Percentage,2011-2013,37.29,13.56,6.78,1.69,0.00,0.00,0.00,0.00
Poorest (IDA eligible),Number,2021-2023,41.00,25.00,12.00,9.00,7.00,4.00,3.00,3.00
Poorest (IDA eligible),Percentage,2021-2023,58.57,35.71,17.14,12.86,10.00,5.71,4.29,4.29
Poorest (IDA eligible),Number,2011-2013,30.00,13.00,6.00,3.00,2.00,2.00,1.00,0.00
Poorest (IDA eligible),Percentage,2011-2013,42.25,18.31,8.45,4.23,2.82,2.82,1.41,0.00
Heavily indebted poor (HIPC),Number,2021-2023,25.00,13.00,5.00,4.00,3.00,1.00,1.00,1.00
Heavily indebted poor (HIPC),Percentage,2021-2023,71.43,37.14,14.29,11.43,8.57,2.86,2.86,2.86
Heavily indebted poor (HIPC),Number,2011-2013,13.00,4.00,2.00,1.00,0.00,0.00,0.00,0.00
Heavily indebted poor (HIPC),Percentage,2011-2013,37.14,11.43,5.71,2.86,0.00,0.00,0.00,0.00
Very high HDI,Number,2021-2023,6.00,3.00,1.00,1.00,1.00,1.00,0.00,0.00
Very high HDI,Percentage,2021-2023,50.00,25.00,8.33,8.33,8.33,8.33,0.00,0.00
Very high HDI,Number,2011-2013,4.00,2.00,1.00,0.00,0.00,0.00,0.00,0.00
Very high HDI,Percentage,2011-2013,33.33,16.67,8.33,0.00,0.00,0.00,0.00,0.00
High HDI,Number,2021-2023,28.00,19.00,11.00,3.00,2.00,2.00,2.00,1.00
High HDI,Percentage,2021-2023,71.79,48.72,28.21,7.69,5.13,5.13,5.13,2.56
High HDI,Number,2011-2013,20.00,13.00,5.00,4.00,4.00,3.00,2.00,0.00
High HDI,Percentage,2011-2013,51.28,33.33,12.82,10.26,10.26,7.69,5.13,0.00
Medium HDI,Number,2021-2023,23.00,13.00,8.00,6.00,4.00,1.00,1.00,1.00
Medium HDI,Percentage,2021-2023,54.76,30.95,19.05,14.29,9.52,2.38,2.38,2.38
Medium HDI,Number,2011-2013,14.00,7.00,3.00,2.00,0.00,0.00,0.00,0.00
Medium HDI,Percentage,2011-2013,33.33,16.67,7.14,4.76,0.00,0.00,0.00,0.00
Low HDI,Number,2021-2023,22.00,13.00,5.00,4.00,3.00,2.00,1.00,1.00
Low HDI,Percentage,2021-2023,70.97,41.94,16.13,12.90,9.68,6.45,3.23,3.23
Low HDI,Number,2011-2013,15.00,6.00,3.00,1.00,1.00,1.00,0.00,0.00
Low HDI,Percentage,2011-2013,46.88,18.75,9.38,3.13,3.13,3.13,0.00,0.00
South Asia (SA),Number,2021-2023,6.00,5.00,4.00,4.00,3.00,2.00,2.00,2.00
South Asia (SA),Percentage,2021-2023,75.00,62.50,50.00,50.00,37.50,25.00,25.00,25.00
South Asia (SA),Number,2011-2013,6.00,4.00,4.00,3.00,2.00,2.00,1.00,0.00
South Asia (SA),Percentage,2011-2013,75.00,50.00,50.00,37.50,25.00,25.00,12.50,0.00
Europe & Central Asia (ECA),Number,2021-2023,4.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
Europe & Central Asia (ECA),Percentage,2021-2023,22.22,5.56,0.00,0.00,0.00,0.00,0.00,0.00
Europe & Central Asia (ECA),Number,2011-2013,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
Europe & Central Asia (ECA),Percentage,2011-2013,11.11,5.56,0.00,0.00,0.00,0.00,0.00,0.00
Middle East and North Africa (MENA),Number,2021-2023,7.00,6.00,3.00,1.00,1.00,1.00,1.00,0.00
Middle East and North Africa (MENA),Percentage,2021-2023,63.64,54.55,27.27,9.09,9.09,9.09,9.09,0.00
Middle East and North Africa (MENA),Number,2011-2013,6.00,4.00,3.00,2.00,2.00,1.00,1.00,0.00
Middle East and North Africa (MENA),Percentage,2011-2013,54.55,36.36,27.27,18.18,18.18,9.09,9.09,0.00
East Asia & Pacific (EAP),Number,2021-2023,10.00,6.00,2.00,0.00,0.00,0.00,0.00,0.00
East Asia & Pacific (EAP),Percentage,2021-2023,50.00,30.00,10.00,0.00,0.00,0.00,0.00,0.00
East Asia & Pacific (EAP),Number,2011-2013,6.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00
East Asia & Pacific (EAP),Percentage,2011-2013,30.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00
Latin America & Caribbean (LAC),Number,2021-2023,18.00,10.00,6.00,2.00,1.00,1.00,0.00,0.00
Latin America & Caribbean (LAC),Percentage,2021-2023,81.82,45.45,27.27,9.09,4.55,4.55,0.00,0.00
Latin America & Caribbean (LAC),Number,2011-2013,13.00,9.00,3.00,1.00,1.00,1.00,0.00,0.00
Latin America & Caribbean (LAC),Percentage,2011-2013,59.09,40.91,13.64,4.55,4.55,4.55,0.00,0.00
Sub-Saharan Africa (SSA),Number,2021-2023,34.00,20.00,10.00,7.00,5.00,2.00,1.00,1.00
Sub-Saharan Africa (SSA),Percentage,2021-2023,73.91,43.48,21.74,15.22,10.87,4.35,2.17,2.17
Sub-Saharan Africa (SSA),Number,2011-2013,20.00,8.00,2.00,1.00,0.00,0.00,0.00,0.00
Sub-Saharan Africa (SSA),Percentage,2011-2013,42.55,17.02,4.26,2.13,0.00,0.00,0.00,0.00
