Group,year,totalDebtMedian,totalDebtQ1,totalDebtQ3,externalDebtMedian,externalDebtQ1,externalDebtQ3
All developing,2000,57.6,38,86.4,41,25.2,64.2
All developing,2001,53.4,38.1,84.2,39.6,25.2,60.8
All developing,2002,55.9,40.3,86,43.2,27.6,65
All developing,2003,53,38.2,84.7,41.2,26,61.9
All developing,2004,49,34.6,81.4,38.1,23.7,57.9
All developing,2005,44.3,31.6,73.1,31.8,17.9,47.9
All developing,2006,36.8,22.5,56.8,21.8,13.4,37.8
All developing,2007,33.3,20.6,49.8,19.4,12.3,35.3
All developing,2008,32.2,20.2,50.5,17.6,10.5,29.6
All developing,2009,35.1,21.9,53.4,19.4,12.6,31.4
All developing,2010,35.4,21.7,46.9,18.7,12,27.3
All developing,2011,34.2,21.9,48.6,17.8,11.3,26.7
All developing,2012,34.3,21.4,49.3,16.9,11.7,27.9
All developing,2013,36.1,24.6,49.5,17.2,12.8,29.8
All developing,2014,38,26.1,54.9,19.4,12.5,29.1
All developing,2015,44.3,29.2,57.9,21.4,14.1,33.5
All developing,2016,46.5,31.1,63,22.8,15,34.9
All developing,2017,47,32.6,64.6,24.1,14.9,37.2
All developing,2018,48.2,34.5,64.8,24.3,15.7,36.7
All developing,2019,48.5,37.6,67.4,26.1,16.9,38.1
All developing,2020,55.6,41.2,78.1,30.6,18.9,44.4
All developing,2021,56.6,41.9,78.9,28.4,17.6,42.8
All developing,2022,56.1,39.8,76.4,27.9,16.9,38.9
All developing,2023,54.7,39.8,77.8,,,
All developing,2024,55.3,37.4,73.1,,,
Low income (LIC),2000,94.7,84,147.7,66.1,48.1,92.6
Low income (LIC),2001,101.4,76.9,180.9,66,48.6,94.7
Low income (LIC),2002,101.5,66.2,159,64.5,55,99.2
Low income (LIC),2003,95.9,61.9,159.9,66.8,52.5,96.6
Low income (LIC),2004,97.8,53.6,146.7,64.5,44.8,90.9
Low income (LIC),2005,74.9,50.4,109.9,48.2,38.5,71.1
Low income (LIC),2006,42.9,22.9,89.6,22.1,13.9,63.6
Low income (LIC),2007,39.2,21.5,57.9,22.2,14.3,50.3
Low income (LIC),2008,36.1,19.9,68.5,20.2,11.8,34.2
Low income (LIC),2009,30.6,21.5,51.8,19.5,13.4,27.4
Low income (LIC),2010,29.8,19.7,42.5,19.3,12.8,22.7
Low income (LIC),2011,24.5,19.9,43.2,17.7,11.7,23.6
Low income (LIC),2012,29.5,21.1,39.9,17.8,13.3,22.7
Low income (LIC),2013,32.9,23.2,48.7,17.9,15.7,24.2
Low income (LIC),2014,36.5,26.7,51.8,19.5,15.6,24.6
Low income (LIC),2015,45.9,31.1,58.3,22.3,15.9,26.4
Low income (LIC),2016,49,35.2,64.7,22.3,19.1,26.3
Low income (LIC),2017,48.6,36.4,72.8,22.7,19.9,31.1
Low income (LIC),2018,51.5,37.4,70.7,23.1,18.9,33.5
Low income (LIC),2019,49.2,41.1,75.1,25.1,19,36.7
Low income (LIC),2020,54.8,45.7,77,29.1,20.8,37.7
Low income (LIC),2021,55.6,50.9,77.4,28.3,19.8,35.7
Low income (LIC),2022,58.4,50.3,78.1,25.7,20.5,35.1
Low income (LIC),2023,62,53.3,79.5,,,
Low income (LIC),2024,63.3,49.7,72.7,,,
Lower-middle income (LMC),2000,62.3,44.2,83.8,44.4,28.9,69.5
Lower-middle income (LMC),2001,61.2,49.4,85.1,42,29.5,64.7
Lower-middle income (LMC),2002,59.4,46.3,84.7,45.2,31.8,70.2
Lower-middle income (LMC),2003,53,39.8,85.9,43.1,29.3,61.1
Lower-middle income (LMC),2004,50.6,36.6,81.5,40.1,25.2,55.2
Lower-middle income (LMC),2005,44.9,32,73.1,33.9,22.1,47.1
Lower-middle income (LMC),2006,39.2,24.2,58.7,28.5,15.8,42
Lower-middle income (LMC),2007,35.6,22.4,56.8,23.7,14.8,39.4
Lower-middle income (LMC),2008,33.9,22,53,20.6,14.4,32.3
Lower-middle income (LMC),2009,36.1,23.7,56.7,21.8,16,37.5
Lower-middle income (LMC),2010,36.8,24.5,48,21.3,14.4,31.4
Lower-middle income (LMC),2011,34.9,23.6,48.9,19.2,12.9,29.1
Lower-middle income (LMC),2012,34.5,24.5,49.6,18.3,13.8,28.5
Lower-middle income (LMC),2013,36.5,24.6,47.7,17.7,13.8,30.3
Lower-middle income (LMC),2014,38.7,24.6,53.5,20.5,12.8,30.6
Lower-middle income (LMC),2015,42.6,28.7,58,23.1,13.7,34.8
Lower-middle income (LMC),2016,44.8,30.2,60.3,22.9,15,38.7
Lower-middle income (LMC),2017,46.5,31.7,67.7,27,15.8,38.6
Lower-middle income (LMC),2018,47,35.1,62.7,26.3,16.1,44.6
Lower-middle income (LMC),2019,43.9,38.2,67.8,28.3,17.3,42.6
Lower-middle income (LMC),2020,51.7,41.2,78.2,31.9,20.9,46.5
Lower-middle income (LMC),2021,53.5,41.9,74.9,31.4,20.4,44.7
Lower-middle income (LMC),2022,54.7,40.8,78.8,30.7,17.9,40.6
Lower-middle income (LMC),2023,49.7,40,79,,,
Lower-middle income (LMC),2024,48.2,39.2,72.9,,,
Upper-middle income (UMC),2000,38.9,32.7,57.2,23.6,15.1,38.1
Upper-middle income (UMC),2001,41.9,35.7,56.5,24.7,15.6,35.5
Upper-middle income (UMC),2002,44.4,31.9,61.2,24.8,16,41.4
Upper-middle income (UMC),2003,44.2,30.6,57.2,24.6,14.7,39.4
Upper-middle income (UMC),2004,41.2,27.1,55.9,25,13.7,36.1
Upper-middle income (UMC),2005,38.3,26.6,48.2,17.9,10.4,29.8
Upper-middle income (UMC),2006,35,22.2,44.5,17.2,8.8,26.8
Upper-middle income (UMC),2007,31.8,18.4,43.4,14.6,7.9,23
Upper-middle income (UMC),2008,30,19.5,44.9,12.9,7.4,20.4
Upper-middle income (UMC),2009,34.8,20.3,50.4,15.1,10.2,23.7
Upper-middle income (UMC),2010,36.7,21,51.6,13.4,10,25.8
Upper-middle income (UMC),2011,35.8,21.3,51.9,13.5,9.6,25.4
Upper-middle income (UMC),2012,34.6,20.5,54,14.6,10.9,28.6
Upper-middle income (UMC),2013,36,24.5,55.7,15.6,11.2,29.7
Upper-middle income (UMC),2014,38.4,26,55.1,17,11.3,28.8
Upper-middle income (UMC),2015,43.4,26.9,56.9,18,12.6,35.2
Upper-middle income (UMC),2016,46.9,27.6,63.3,22.7,13.9,36.8
Upper-middle income (UMC),2017,47,26.8,60.5,23.9,13.8,37.6
Upper-middle income (UMC),2018,48.2,28.7,61.8,24,13.1,35.3
Upper-middle income (UMC),2019,50.3,28.3,60.8,25.8,12.6,36.2
Upper-middle income (UMC),2020,61.3,36.5,77.4,30.6,15.2,42
Upper-middle income (UMC),2021,60.2,35.7,76.6,28.2,15.4,39.3
Upper-middle income (UMC),2022,55.6,33.1,70.7,25.5,15.5,34.1
Upper-middle income (UMC),2023,53.8,28.7,72.3,,,
Upper-middle income (UMC),2024,54.6,30.3,74.3,,,
Middle income (MIC),2000,51.3,36,72.7,35.6,23.3,52.9
Middle income (MIC),2001,51.9,37.8,71.2,35.1,23.2,53.5
Middle income (MIC),2002,51.6,37.7,72.7,35.7,23,53
Middle income (MIC),2003,46.2,36.1,67.8,36.5,24.4,50.1
Middle income (MIC),2004,44.9,30.5,59.3,30.5,20.9,46.6
Middle income (MIC),2005,40.4,28.4,58.2,25.8,16.1,38.7
Middle income (MIC),2006,36.4,22.5,51,21.4,12.7,35.9
Middle income (MIC),2007,33,19.8,48.7,18.4,11.8,32.4
Middle income (MIC),2008,31.2,20.3,49.1,16.6,9.7,27.9
Middle income (MIC),2009,35.4,22.2,52.6,19.2,12.1,31.9
Middle income (MIC),2010,36.7,22.3,48.5,18.6,11.8,27.8
Middle income (MIC),2011,35.3,22.7,50,17.6,11.2,27.5
Middle income (MIC),2012,34.5,22.2,51.4,16.7,11.3,28.9
Middle income (MIC),2013,36.9,24.6,49.5,17.2,12,30.3
Middle income (MIC),2014,38.8,24.9,54.2,19.7,12,30.4
Middle income (MIC),2015,42.6,27.7,57.5,21.4,12.9,35.1
Middle income (MIC),2016,46.5,27.9,62.7,22.9,14.5,37.7
Middle income (MIC),2017,47,28,62.5,24.5,14.1,38
Middle income (MIC),2018,47.7,31.4,63,25,14.1,37.7
Middle income (MIC),2019,46.6,32.2,67.1,26.2,15.6,39.2
Middle income (MIC),2020,56.5,40.2,78.1,31.6,16.8,44.5
Middle income (MIC),2021,56.9,40.2,77.2,29.5,17.3,43.5
Middle income (MIC),2022,55.3,36.8,76.1,29.2,16.4,38.9
Middle income (MIC),2023,52.5,36.3,76.6,,,
Middle income (MIC),2024,53.3,36.9,73.7,,,
Least developed (LDC),2000,88.5,53.2,134.4,61.1,44,91
Least developed (LDC),2001,83.1,52.8,126,60.2,44.1,83.4
Least developed (LDC),2002,79.6,51.9,128.9,59.2,46.8,94.4
Least developed (LDC),2003,66.2,44.3,115.2,60.1,44.1,85.9
Least developed (LDC),2004,66.4,42.4,109.8,56,41.4,83.3
Least developed (LDC),2005,61.6,40.1,92.9,46.7,33.6,65.9
Least developed (LDC),2006,39.3,23.5,80.2,29.8,15,63.4
Least developed (LDC),2007,35.3,22,59.6,23.2,15.7,49.8
Least developed (LDC),2008,33.9,20.5,58.2,21.4,15.6,41.4
Least developed (LDC),2009,31.7,21.2,55.3,22.8,17.1,36.2
Least developed (LDC),2010,30.5,22.7,43.4,20.5,15.4,27.7
Least developed (LDC),2011,28.9,20.6,42.8,19.1,14.1,26.6
Least developed (LDC),2012,28.8,21.9,39.5,18.8,13.9,26.4
Least developed (LDC),2013,32.3,23.2,44.6,18.4,14.9,29.9
Least developed (LDC),2014,35.1,24.7,45.9,20.2,15,27.6
Least developed (LDC),2015,40.1,27.4,57.1,22.9,14.7,30.7
Least developed (LDC),2016,40.9,28.4,59.4,22.5,16.1,32.4
Least developed (LDC),2017,41.2,30.9,61.7,23,17.8,34.3
Least developed (LDC),2018,44.4,32.7,63.4,23.1,17.1,37.7
Least developed (LDC),2019,44.1,36.7,66.3,25.1,18.3,39
Least developed (LDC),2020,49.3,40.9,70,28.7,19,49.8
Least developed (LDC),2021,53.3,41.2,70,27.9,19.1,44.9
Least developed (LDC),2022,53.9,38.9,68.1,25.8,18.8,41.6
Least developed (LDC),2023,55.7,39.9,76.3,,,
Least developed (LDC),2024,55.6,35.5,69.9,,,
Landlocked developing (LLDC),2000,73.6,43.2,91.3,48.1,27.8,72.8
Landlocked developing (LLDC),2001,74,44.8,97.3,47.9,27.9,71.2
Landlocked developing (LLDC),2002,58.2,40.5,98.3,47.5,32.3,73.3
Landlocked developing (LLDC),2003,55.1,33,90.1,49.6,31.7,70
