Group,year,number_revenue,percentage_revenue,number_exports,percentage_exports
All developing,2000,25,22.94,12.00,12.50
All developing,2001,19,17.12,12.00,12.37
All developing,2002,20,17.86,11.00,11.11
All developing,2003,21,18.75,13.00,12.87
All developing,2004,17,15.18,6.00,5.83
All developing,2005,10,8.85,7.00,6.60
All developing,2006,13,11.30,4.00,3.70
All developing,2007,13,11.30,6.00,5.41
All developing,2008,9,7.76,1.00,0.89
All developing,2009,6,5.17,3.00,2.65
All developing,2010,5,4.31,0.00,0.00
All developing,2011,4,3.48,2.00,1.77
All developing,2012,6,5.22,2.00,1.77
All developing,2013,6,5.13,0.00,0.00
All developing,2014,5,4.27,0.00,0.00
All developing,2015,10,8.55,4.00,3.48
All developing,2016,6,5.13,5.00,4.35
All developing,2017,10,8.55,6.00,5.31
All developing,2018,12,10.26,7.00,6.19
All developing,2019,19,16.24,10.00,8.85
All developing,2020,23,19.83,14.00,12.17
All developing,2021,22,18.97,13.00,11.40
All developing,2022,12,10.43,3.00,2.68
All developing,2023,25,22.12,..,..
All developing,2024,24,21.43,..,..
Low-income (LIC),2000,0.00,0.00,2.00,12.50
Low-income (LIC),2001,0.00,0.00,2.00,12.50
Low-income (LIC),2002,1.00,4.55,1.00,6.25
Low-income (LIC),2003,3.00,13.64,2.00,11.76
Low-income (LIC),2004,2.00,9.09,1.00,5.56
Low-income (LIC),2005,1.00,4.55,1.00,5.26
Low-income (LIC),2006,1.00,4.35,0.00,0.00
Low-income (LIC),2007,3.00,13.04,1.00,5.00
Low-income (LIC),2008,3.00,12.50,0.00,0.00
Low-income (LIC),2009,0.00,0.00,0.00,0.00
Low-income (LIC),2010,0.00,0.00,0.00,0.00
Low-income (LIC),2011,0.00,0.00,0.00,0.00
Low-income (LIC),2012,0.00,0.00,0.00,0.00
Low-income (LIC),2013,0.00,0.00,0.00,0.00
Low-income (LIC),2014,2.00,8.33,0.00,0.00
Low-income (LIC),2015,0.00,0.00,0.00,0.00
Low-income (LIC),2016,0.00,0.00,0.00,0.00
Low-income (LIC),2017,0.00,0.00,1.00,4.76
Low-income (LIC),2018,0.00,0.00,1.00,4.76
Low-income (LIC),2019,1.00,4.17,1.00,5.00
Low-income (LIC),2020,1.00,4.35,2.00,9.09
Low-income (LIC),2021,1.00,4.35,4.00,19.05
Low-income (LIC),2022,1.00,4.55,1.00,4.76
Low-income (LIC),2023,5.00,22.73,..,..
Low-income (LIC),2024,5.00,22.73,..,..
Lower-middle income (LMC),2000,15.00,30.61,5.00,11.90
Lower-middle income (LMC),2001,11.00,22.45,4.00,9.52
Lower-middle income (LMC),2002,7.00,14.29,4.00,9.09
Lower-middle income (LMC),2003,8.00,16.33,6.00,13.33
Lower-middle income (LMC),2004,8.00,16.33,3.00,6.52
Lower-middle income (LMC),2005,6.00,12.00,2.00,4.17
Lower-middle income (LMC),2006,6.00,12.00,3.00,6.00
Lower-middle income (LMC),2007,5.00,10.00,3.00,6.00
Lower-middle income (LMC),2008,2.00,4.00,0.00,0.00
Lower-middle income (LMC),2009,2.00,4.00,0.00,0.00
Lower-middle income (LMC),2010,2.00,4.00,0.00,0.00
