group,year,netInterest,netInterestMin,netInterestMax,
All developing,2000,10.14,5.10,16.32,
All developing,2001,9.58,4.18,15.46,
All developing,2002,8.24,4.11,15.22,
All developing,2003,8.15,3.50,14.83,
All developing,2004,6.58,3.10,12.96,
All developing,2005,6.13,2.57,11.65,
All developing,2006,4.55,1.96,10.03,
All developing,2007,4.34,1.87,9.60,
All developing,2008,3.89,1.43,8.47,
All developing,2009,3.98,1.87,8.99,
All developing,2010,3.96,1.65,8.74,
All developing,2011,4.14,1.65,8.81,
All developing,2012,3.91,1.70,8.80,
All developing,2013,4.36,1.54,8.60,
All developing,2014,3.88,1.88,8.97,
All developing,2015,4.67,2.05,10.46,
All developing,2016,5.14,2.41,10.96,
All developing,2017,5.47,2.42,10.66,
All developing,2018,5.82,2.75,11.46,
All developing,2019,6.23,3.03,11.56,
All developing,2020,7.05,3.19,13.72,
All developing,2021,6.42,2.92,12.74,
All developing,2022,6.92,3.29,13.09,
All developing,2023,7.42,3.49,13.89,
All developing,2024,8.28,3.98,14.64,
All developing,2025,9.48,4.46,15.02,
Low income (LIC),2000,10.00,4.69,15.05,
Low income (LIC),2001,8.10,4.64,14.12,
Low income (LIC),2002,9.57,5.96,13.48,
Low income (LIC),2003,8.01,5.16,14.14,
Low income (LIC),2004,6.83,3.82,9.89,
Low income (LIC),2005,5.63,3.48,10.29,
Low income (LIC),2006,4.34,2.68,7.11,
Low income (LIC),2007,4.47,2.19,7.65,
Low income (LIC),2008,3.94,1.96,7.77,
Low income (LIC),2009,3.66,2.04,7.91,
Low income (LIC),2010,2.74,1.85,6.33,
Low income (LIC),2011,3.43,2.06,9.08,
Low income (LIC),2012,3.78,1.88,8.01,
Low income (LIC),2013,3.11,2.31,6.64,
Low income (LIC),2014,3.36,2.27,7.69,
Low income (LIC),2015,3.85,2.67,9.11,
Low income (LIC),2016,4.61,3.50,10.45,
Low income (LIC),2017,4.65,2.73,8.81,
Low income (LIC),2018,5.09,2.92,8.68,
Low income (LIC),2019,5.33,3.07,10.52,
Low income (LIC),2020,5.95,3.45,13.30,
Low income (LIC),2021,6.88,2.65,11.22,
Low income (LIC),2022,7.78,3.83,10.98,
Low income (LIC),2023,9.80,4.51,13.86,
Low income (LIC),2024,9.92,6.51,14.64,
Low income (LIC),2025,10.82,6.91,14.60,
Lower-middle income (LMC),2000,10.35,6.17,16.39,
Lower-middle income (LMC),2001,10.08,4.27,14.40,
Lower-middle income (LMC),2002,9.08,4.76,15.58,
Lower-middle income (LMC),2003,8.74,4.01,15.77,
Lower-middle income (LMC),2004,6.86,3.83,13.12,
Lower-middle income (LMC),2005,6.31,3.62,11.82,
Lower-middle income (LMC),2006,4.71,2.65,10.64,
Lower-middle income (LMC),2007,4.95,2.53,9.54,
Lower-middle income (LMC),2008,4.09,1.93,9.33,
Lower-middle income (LMC),2009,4.43,2.14,8.69,
Lower-middle income (LMC),2010,4.32,1.76,8.70,
Lower-middle income (LMC),2011,4.14,1.70,8.17,
Lower-middle income (LMC),2012,3.02,1.73,8.61,
Lower-middle income (LMC),2013,3.91,1.71,8.60,
Lower-middle income (LMC),2014,3.61,1.98,9.42,
Lower-middle income (LMC),2015,4.74,2.02,10.59,
Lower-middle income (LMC),2016,6.47,2.31,11.67,
Lower-middle income (LMC),2017,5.96,2.12,11.29,
Lower-middle income (LMC),2018,6.93,2.49,12.62,
Lower-middle income (LMC),2019,7.55,3.11,14.68,
Lower-middle income (LMC),2020,7.19,2.85,17.86,
Lower-middle income (LMC),2021,6.88,3.04,15.85,
Lower-middle income (LMC),2022,7.47,3.05,14.51,
Lower-middle income (LMC),2023,7.71,3.13,14.61,
Lower-middle income (LMC),2024,8.20,3.42,16.73,
Lower-middle income (LMC),2025,8.75,3.36,16.12,
Upper-middle income (UMC),2000,9.66,5.02,17.80,
Upper-middle income (UMC),2001,8.61,2.61,17.43,
Upper-middle income (UMC),2002,7.71,2.42,13.88,
Upper-middle income (UMC),2003,7.83,2.33,12.92,
Upper-middle income (UMC),2004,5.78,2.34,13.16,
Upper-middle income (UMC),2005,5.69,1.72,10.95,
Upper-middle income (UMC),2006,4.83,1.45,10.25,
Upper-middle income (UMC),2007,3.99,1.30,9.84,
Upper-middle income (UMC),2008,3.06,1.29,8.82,
Upper-middle income (UMC),2009,3.86,1.64,10.30,
Upper-middle income (UMC),2010,3.92,1.61,9.68,
Upper-middle income (UMC),2011,4.21,1.48,9.69,
Upper-middle income (UMC),2012,4.20,1.63,10.01,
Upper-middle income (UMC),2013,4.98,1.51,9.51,
Upper-middle income (UMC),2014,5.22,1.76,9.42,
Upper-middle income (UMC),2015,5.80,2.20,10.39,
Upper-middle income (UMC),2016,5.33,2.49,10.97,
Upper-middle income (UMC),2017,6.03,3.09,10.73,
Upper-middle income (UMC),2018,6.37,3.34,10.62,
Upper-middle income (UMC),2019,6.60,3.74,11.73,
Upper-middle income (UMC),2020,7.18,3.95,12.48,
Upper-middle income (UMC),2021,6.42,3.51,12.64,
Upper-middle income (UMC),2022,6.23,3.60,13.22,
Upper-middle income (UMC),2023,6.69,3.92,12.49,
Upper-middle income (UMC),2024,8.38,4.20,14.15,
Upper-middle income (UMC),2025,9.39,4.49,14.69,
Middle income (MIC),2000,10.06,5.10,16.91,
Middle income (MIC),2001,9.85,3.92,16.35,
Middle income (MIC),2002,8.20,3.62,15.29,
Middle income (MIC),2003,8.16,2.59,14.90,
Middle income (MIC),2004,6.47,2.92,13.16,
Middle income (MIC),2005,6.15,2.47,11.73,
Middle income (MIC),2006,4.71,1.95,10.48,
Middle income (MIC),2007,4.34,1.84,9.75,
